CUE,Nombre,Domicilio,Sendero,Ambito,BARRIO,Comuna,DE,X,Y,y_lat,x_long
200739,Colegio Integral Martin Buber (sede),Armenia 2362,SE14BE,privada,PALERMO,14,9,103943,104941,-34.584722,-58.420323
200739,Colegio Integral Martin Buber (anexo 1),Charcas 4145,SE14BE,privada,PALERMO,14,9,103860,104922,-34.584894,-58.421227
203174,Jardin Azul Naranja (anexo),Charcas 4196,SE14BE,privada,PALERMO,14,9,103788,104942,-34.584694,-58.422015
200739,Colegio Integral Martin Buber (anexo 2),Armenia 2314,SE14BE,privada,PALERMO,14,9,103894,104904,-34.585047,-58.420873
200336,Jardin de Infantes Nucleado C DE 09º [S] (EPC 20),Darregueyra 2369 - Güemes 4610,SE14BF,publica,PALERMO,14,9,103538,105308,-34.581416,-58.424738
201330,Esc. Primaria Comun Nº 20 DE 09º Carlos Maria Biedma,Güemes 4610 - Darregueyra 2369,SE14BF,publica,PALERMO,14,9,103608,105297,-34.581514,-58.423975
200810,Jardin de Infantes Integral Nº 01 DE 09º Dr. Alfredo Palacios,Uriarte 2237/2235,SE14BF,publica,PALERMO,14,9,103473,105131,-34.583011,-58.425446
201957,Colegio Armonia (anexo),Uriarte 2231,SE14BF,privada,PALERMO,14,9,103463,105122,-34.583093,-58.425555
202132,El Jardin de la Plaza,Charcas 4446,SE14BG,privada,PALERMO,14,9,103558,105154,-34.582804,-58.42452
200729,Instituto Palermo Chico,Thames 2037/2041,SE14BG,privada,PALERMO,14,9,103376,104892,-34.585166,-58.426502
202178,Colegio Beth,Thames 2246,SE14BG,privada,PALERMO,14,9,103530,105074,-34.583525,-58.424825
200926,Instituto Leon XIII,Dorrego 2124,SE14BH,privada,PALERMO,14,9,102165,105670,-34.578156,-58.439704
200800,Jardin de Infantes Nucleado A DE 09º (EPC 08),Arce 611,SE14BI,publica,PALERMO,14,9,102735,106664,-34.569194,-58.433495
200982,Esc. Primaria Comun Nº 08 DE 09º Armenio-Argentina,Arce 611,SE14BI,publica,PALERMO,14,9,102735,106664,-34.569194,-58.433495
202800,Jardin Maternal Nº 10 DE 09º,Baez 681,SE14BI,publica,PALERMO,14,9,102618,106604,-34.569736,-58.43477
290030,Instituto Social Militar Dr. Damaso Centeno Anexo Jardin de Infantes Gral. San Martin,Tte. Benjamin Matienzo 1870,SE14BI,publica,PALERMO,14,9,102608,106632,-34.569483,-58.434879
202409,Colegio Rey Fahd,Av. Cerviño 4851,SE14BJ,privada,PALERMO,14,9,103432,106178,-34.573573,-58.425897
200949,Colegio Esclavas del Sagrado Corazon de Jesus,Av. Luis M. Campos 898 - Maure 2000,SE14BK,privada,PALERMO,14,9,102374,106735,-34.568555,-58.437429
200758,Esc. Primaria Comun Nº 17 DE 07º Francisco de Vitoria,Julian Alvarez 240,SE15AA,publica,VILLA CRESPO,15,7,102303,103052,-34.601756,-58.438193
201372,Jardin de Infantes Nucleado A DE 07º El Jardin de la Paloma (EPC 17),Julian Alvarez 240,SE15AA,publica,VILLA CRESPO,15,7,102303,103052,-34.601756,-58.438193
201372,Jardin de Infantes Nucleado A DE 07º El Jardin de la Paloma (EPC 22),Araoz 234,SE15AA,publica,VILLA CRESPO,15,7,102218,103132,-34.601035,-58.43912
201398,Esc. Primaria Comun Nº 22 DE 07º Dr. Romulo S. Naon,Araoz 234,SE15AA,publica,VILLA CRESPO,15,7,102218,103132,-34.601035,-58.43912
